firstName,middleName,lastName,suffix,aliasFirstName,aliasMiddleName,aliasLastName,aliasSuffix,dob,pobCountry,pobState,pobCity,pobCounty,sex,race,ssn,hairColor,eyeColor,height,weight,street1,street2,city,state,postalCode,country,homeTelephone,businessTelephone,mobileTelephone,pagerTelephone,faxTelephone,email,citizenship,naturalizationDate,passportCountry,passportNumber,passportType,visaNumber,visaType,visaClassOfAdmissionClassificationCode,birthAbroadCertificationId,certificateOfCitizenshipNumber,alienNumber,i94ArrivalDepartureFormNumber,certificateOfNaturalizationNumber,ds1350CertificationOfBirthAbroad,citizenshipCertificateId,admissionId,employerName,employerStreet1,employerStreet2,employerCity,employerState,employerPostalCode,employerCountry,employerEmail,employerTelephone,employerPOC,caseProgram,caseSubprogram,airportCode,fingerprintFileName,fingerprintCaseNumber,badgeId,badgeIssueDate,badgeExpirationDate,badgeAirportCode,badgeLocalType,badgeArea,badgeAccessSIDA,badgeAccessSterileArea,badgeAccessAOA,badgeAccessSecured,badgeAccessPublicArea,badgeAccessRT,badgeStatus,badgeChangeReason 
BENTON,HAYDEN,DIMUCCI,V,RODERICK,ROBIN,VOGENTHALER,,10/26/1974,USA,FL,Durham,,U,I,352908182,GRN,GRN,88,722,415 CORY,,Bothell,NE,20331,DZA,468-591-3725,(984)2522222,236-936-9948,(203)4182910,6465448269,BENTON.DIMUCCI@OTIG.CO.UK,GIB,,USA,7519906220,M,,,Y99T80P20N,,,A617690263,91353318037,,,,,Emerson Electric,6373 JACOBS,,Scottsdale,DE,22228-3295,HKG,TAD DOBROWSKI@Emerson Electric.EDU,(857)4580569,TAD DOBROWSKI,AW,FPO,MSN,BENTON_DIMUCCI_9UO83C.eft,,66BVB,10/26/2000,10/26/2001,UGQ,Black,Ticketting,False,False,True,True,False,False,I,Leave of Absence
MYRTIS,YOSHIE,ZUMAYA,,ROSIA,KAYLA,GHEEN,,02/25/1925,TUR,,,,F,A,323016482,GRN,BRO,62,987,3853 MENGES MILL,OFFICE # 417,Milwaukee,MT,23087-3234,BWA,745-734-5223,871-507-7011,2458376754,6104272625,(954)8661931,MYRTIS.ZUMAYA1925@JIGZ.GOV,USA,,USA,3045406207,P,5VHJBF7,V-3,WNG0AUXX5M,POIZXTLYPX,ORR3VB1H,,,7ZEKITYV9,OX7S6W,7I8ZXP9PAN,930AOPOI,Agilent Technologies,5688 GLENDON ST,,Hampton,DE,67022,KOR,WINFRED MARKSBURY@Agilent Technologies.CO.UK,(741)3513324,WINFRED MARKSBURY,AW,FPO,IRK,MYRTIS_ZUMAYA_DAJ7JS.eft,,E5JSF,09/24/2009,09/24/2010,IIE,Contractor,Food Court,True,True,False,True,True,True,S,Employer Direction
DAN,PABLO,PULKRABEK,,JOSPEH,,FRICHETTE,,09/22/1968,USA,MO,Kearney,,U,B,268737966,WHI,MUL,102,501,6029 GALEN,,Torrance,MD,92092,BRB,(592)9200477,(493)7118808,(203)4365827,(682)8372060,(664)8137910,DAN.PULKRABEK@RLVU.ORG,USA,,USA,5204597508,P,,,HRYGYNV16F,,,,,,,,,Avon Products,8645 26TH HWY,ROOM 55,Amarillo,SD,66737-7339,COD,TOMAS NIEVES@Avon Products.ORG,(988)7348995,TOMAS NIEVES,AW,FPO,PRC,DAN_PULKRABEK_BMY9TI.eft,,5ORQO,11/23/2007,11/23/2008,GBE,Red,Food Court,False,True,False,False,True,True,I,Leave of Absence
CORTEZ,,GODNICK,,RICARDO,,MASOTTI,IV,08/23/1931,USA,KY,Hoboken,,M,U,300414370,BLN,PNK,71,553,9447 WESTBORO PLACE,OFFICE # 152,Frankfort,AZ,25612,RWA,(653)4207168,(445)5727801,(426)7662369,592-705-6611,9558299855,CORTEZ.GODNICK1931@ZCRE.GOV,KAZ,,IDN,8835936236,P,DEUXR3I,F33,6WOQXF5B7I,EC5MZ2WHXV,BS0IJVK8,A463477305,63226338136,GBJ1EPHTO,7MPP0T,2GB21C35DX,R1B0VWJS,Midwest Airlines,1125 STRONGHOLD ST,APARTMENT # 67,Merrillville,AZ,48964,SJM,REGGIE SCHURZ@Midwest Airlines.EDU,799-990-2568,REGGIE SCHURZ,AW,FPO,AVP,CORTEZ_GODNICK_VXQL6R.eft,,,,,,,,,,,,,,,
KIRBY,JAN,WOBBLETON,,ELMO,,JOCK,JR,04/26/1929,USA,WY,Canton,Fountain Valley county,M,W,346746672,ONG,HAZ,90,149,7917 STEINBECK HWY,,Costa Mesa,MA,31959,BRA,(924)8077938,598-331-2834,542-509-6506,6895280619,(566)2981984,KIRBY.WOBBLETON@TKTG.NET,USA,,USA,5367508195,D,,,3XWELU4V40,,,,,,,,,Henkel,7092 MOUNTAIN SHADOW PL,,Sandy,AL,36212,GNB,LAMAR GUCMAN@Henkel.ORG,4638882883,LAMAR GUCMAN,AW,FPO,WMH,KIRBY_WOBBLETON_SOOGTL.eft,,,,,,,,,,,,,,,
ROCIO,,SABIN,,EMELINA,LOVIE,BADILLA,,08/26/1968,USA,AZ,Waukegan,,F,W,656636351,BRY,BLU,79,108,2326 ROSSES POINT HWY,,Santa Clarita,AZ,72305-2273,BIH,(298)7449704,871-855-4997,8712008576,615-876-5894,478-323-5749,ROCIO.SABIN@TRZH.ORG,USA,,USA,8178544667,P,UEJ0TTW,Q-2,TXI2IBD2RB,26POH5T3VD,L3FJ85S5,,,AZLDFGD7W,4G3WHO,T0JBZU74LS,340QPVTA,Ansett Australia,435 TILBERG,,Wellington,ID,53782-3708,KOR,KURT DITMORE@Ansett Australia.COM,917-352-8524,KURT DITMORE,ACP,FPO,YGB,ROCIO_SABIN_GUYEWM.eft,,MPB5L,03/21/2001,03/21/2002,AGF,Contractor,Concourse B,True,False,False,False,False,False,R,Resignation
MALCOLM,JOHNATHAN,DRESCH,,HUBERT,GREG,LEVERETT,IX,06/25/1906,PRT,,,,M,B,572271343,PLE,MUL,28,224,4501 APACHE RD,,Columbia,MN,50365,LUX,6369742606,8527964604,(433)3542552,568-686-7031,(613)8339313,MALCOLM.DRESCH1906@MZBX.CO.UK,BRN,,USA,2213649911,M,,,BQ2BUO6CFI,,,A638503929,76727697470,,,,,Terumo,980 HAYSTACK WAY,APT 85,Clearfield,WY,95339,PLW,HERSHEL BASTRESS@Terumo.COM,(695)5869202,HERSHEL BASTRESS,GA,PCS-PFP,LIH,,FAKE314835,,,,,,,,,,,,,,
CHANCE,DEWAYNE,AMBROSIA,IV,ISSAC,,BLAYDON,V,07/23/1920,USA,MO,Chico,,M,B,646866362,PNK,GRN,66,1106,8882 SANDBURG HIGHWAY,,Paradise,AZ,32341,KOR,(266)7226232,(361)5307707,648-571-6876,(265)4585674,629-254-5697,CHANCE.AMBROSIA@AXPQ.ORG,USA,,TZA,2354852924,P,PYEMVI3,N-8,V0LNDTVQQ3,I2D0DKW4BP,PEK98YYS,,,AUDXL4IY7,RCWG1F,0ACOVSH84R,BGGM1S66,Google,4275 STERLING OAKS HIGHWAY,,Turlock,AL,86062,COK,HIRAM LUJAN@Google.GOV,4765942481,HIRAM LUJAN,AW,FPO,ZJN,CHANCE_AMBROSIA_XQ38VG.eft,,,,,,,,,,,,,,,
GARRET,,LOSKILL,JR,DANA,MONROE,DOERFLER,IX,11/21/1965,USA,AK,Urbana,,M,U,207360139,RED,BLK,23,375,5720 DEER RUN,OFFICE # 161,Arlington,HI,76697-9521,NPL,(314)3429593,3142861800,(749)5464481,(910)4895735,265-540-4880,GARRET.LOSKILL1965@HRUP.COM,NPL,,USA,9137408100,M,,,KEJ2T9GQKP,,,A292506518,27583070084,,,,,Ryan International Airlines,4190 HOWARD,,O'Fallon,MO,24177-7006,GUY,CHET DELMAS@Ryan International Airlines.GOV,641-834-8096,CHET DELMAS,ACP,FPO,YTQ,GARRET_LOSKILL_Y0RGST.eft,,,,,,,,,,,,,,,
SOLOMON,,NASUTI,SR,OSCAR,HOYT,SCHWEINBERG,,02/24/1929,USA,AZ,Woburn,Eagan county,U,B,452530829,RED,HAZ,90,301,4582 TAMARIND,,Baldwin Park,PA,69209,IOT,6376073612,907-566-2635,7689751569,(306)6832782,794-219-3907,SOLOMON.NASUTI1929@BDDX.NET,USA,,USA,3505181591,P,,,9THK6H4RBF,,,,,,,,,HTC Corp,8708 KNOLLS HILL BOULEVARD,,Revere,HI,87588,VCT,HUNTER PELISSIER@HTC Corp.ORG,8528334355,HUNTER PELISSIER,GA,MDW-PFP,YLQ,,FAKE409503,,,,,,,,,,,,,,
GARFIELD,,RANDA,,SON,,RECKSIEK,,06/25/1957,USA,MI,Ankeny,,M,B,239587441,RED,XXX,36,541,9520 POTTER WAY,,Flagstaff,VT,93762-3112,LBY,328-909-8102,(737)4819731,327-693-9643,6917752254,403-409-4476,GARFIELD.RANDA1957@JYZX.EDU,USA,,USA,6124451994,P,,,9YCFYCAM3P,,,,,,,,,EVA Airways,918 FALCONROCK,,Southgate,OH,63899-9980,TLS,COLTON WAKEHAM@EVA Airways.COM,631-866-3110,COLTON WAKEHAM,AW,FPO,TRI,GARFIELD_RANDA_6U0IVI.eft,,G32HG,03/25/2004,03/25/2005,GHG,Blue,Terminal 1,False,True,True,True,True,False,NI,Hiring Decision
ARLEN,,KHANO,VIII,ALI,,KELLS,VII,05/22/1931,DOM,,,,M,I,635062414,BLN,BLU,43,957,1572 13TH ROAD,SUITE 437,Wilmington,OH,24119,SJM,3424161524,5058300296,794-255-7431,(237)6811901,717-949-9852,ARLEN.KHANO@WBOH.ORG,USA,,FIN,6207312470,D,48F1C0W,I51,SPIQ53QQCV,UGRTN0TY97,Z0SWAZ5J,,,DIW7VZFS1,4DMT21,E2NSGSQWAG,89ITD9ZR,Intuit,3635 NAISMITH RD,APT # 241,Woonsocket,NM,97373,MLT,ROYAL LILLIAN@Intuit.GOV,983-750-4457,ROYAL LILLIAN,GA,PCS-FP,TNC,,,,,,,,,,,,,,,,
AGATHA,,GASER,,ANGELO,,BROJAKOWSKI,,02/25/1915,TZA,,,,F,B,225423485,PNK,BLK,82,119,9648 WEATHERWOOD BLVD,,Gilbert,NC,83038-3598,PAN,5218691470,(581)3714728,(963)7950980,5262864950,554-909-3625,AGATHA.GASER1915@WVKJ.NET,USA,,USA,4033254117,P,,,GVEUPO0G36,,,,,,,,,Praxair,4775 HOWARD PLACE,,Englewood,IA,33439-5950,VGB,LINCOLN ROBATEAU@Praxair.EDU,862-894-9713,LINCOLN ROBATEAU,AW,FPO,EHM,AGATHA_GASER_PE1TQV.eft,,LCS0E,07/24/2006,07/24/2007,GOA,Yellow,Tarmac,True,True,True,False,False,True,R,TSA Direction
LEE,,WASHINSKI,JR,DILLON,RUDOLF,DIMMER,,10/23/1944,USA,MN,Municipality of Monroeville,,U,B,478712109,WHI,GRN,75,147,9322 VERLAINE WAY,,Stamford,ND,47400,BMU,243-703-5478,374-935-5030,(442)7885302,(992)4898576,6154884782,LEE.WASHINSKI1944@NYTM.GOV,USA,02/21/1985,USA,6599528616,P,,,N73UR3FBL1,,,,,,,,,Apple,2519 CLIFTON PLACE,,Pasadena,MO,77666-3194,SWE,MARIANO WINGERD@Apple.CO.UK,6265599945,MARIANO WINGERD,ACP,FPO,HYS,LEE_WASHINSKI_T92D4H.eft,,89FMB,10/21/2001,10/21/2002,PIN,Black,Food Court,True,False,True,False,True,False,S,Employer Direction
PATTI,LAURE,PAULEY,,ARACELY,JANEAN,PAASKE,,09/23/1993,USA,MA,Lowell,Longview county,F,U,607379610,GRN,BLK,82,1154,1780 MONTEZUMA,APT # 340,Fair Lawn,WV,77513,DOM,(400)3194951,(472)8287721,452-417-8145,517-426-9655,956-374-9828,PATTI.PAULEY1993@RSWS.NET,USA,,USA,9007355679,P,,,P4RBQRVM21,,,,,,,,,Celgene,2907 FORT,,Kirkwood,MA,41213,BRB,BOBBIE ARITA@Celgene.EDU,895-541-8138,BOBBIE ARITA,AW,FPO,MYR,PATTI_PAULEY_WV44LD.eft,,,,,,,,,,,,,,,
CHERY,JULIETTE,HELLAND,JR,LAVERN,,CWIK,,03/27/1965,USA,ME,Keller,,F,A,498486727,BRO,BLU,86,157,2374 PATHFINDER BLVD,ROOM 450,Rialto,NY,42591,CCK,(342)8960174,5722656624,3523258451,(959)7397126,(366)6850975,CHERY.HELLAND@DYTH.COM,USA,10/26/1967,USA,6046634502,P,,,BRKBJ7FU63,,,,,,,,,FMC Technologies,2844 SPLIT ROCK,,Naugatuck,KS,61141-4426,BHR,CHARLES MILEWSKI@FMC Technologies.CO.UK,507-977-5081,CHARLES MILEWSKI,AW,FPO,HOU,CHERY_HELLAND_PNRKA0.eft,,QH1PR,09/25/2008,09/25/2009,ZOE,Contractor,Food Court,True,False,True,True,False,True,R,Termination
JAMIE,,LOFTHUS,,NORMAND,,MENJARES,IV,09/23/1942,USA,UT,San Francisco,,U,B,329430079,BLN,HAZ,61,316,8823 OAK PATH PLACE,OFFICE 455,National,AR,34635,NFK,383-552-6015,591-990-6237,3557769010,(454)9605172,(204)8577379,JAMIE.LOFTHUS@NCGH.EDU,USA,,USA,6363206926,P,,,38HLMSLR2A,,,,,,,,,Rolls-Royce Holdings,6091 CONCORD,OFFICE # 303,Michigan,TN,85569-5769,MDA,CARMINE MOTE@Rolls-Royce Holdings.CO.UK,5096736389,CARMINE MOTE,AW,FPO,ZTB,JAMIE_LOFTHUS_LKVSR9.eft,,0SW47,02/22/2009,02/22/2010,VIK,Black,Terminal 2,True,False,True,True,True,False,S,Employer Direction
JIMMIE,,CONLISK,,MERVIN,,COLEE,,05/27/1904,USA,RI,Aurora,,U,W,363787085,XXX,BLK,27,871,4019 SCARLET RUSH,,Muncie,NH,78465-6297,BDI,887-316-6777,2918017405,(978)9500528,(290)5468660,881-640-5049,JIMMIE.CONLISK@ITIB.GOV,USA,,MUS,5230150560,P,FFJI0HH,F22,INA11SV40N,04HNOJNZWZ,WA338XQ0,,,VJEZKJ4DT,J68ZEP,L5HZ71FLD4,AR503B5H,Fresenius Medical Care,7316 CONCORD ST,SUITE # 21,Jersey,OK,91629,GEO,FLORENTINO STONGE@Fresenius Medical Care.CO.UK,(648)4568490,FLORENTINO STONGE,GA,DCM-PFP,EEK,,FAKE374088,,,,,,,,,,,,,,
CARMELO,EMIL,TIDRICK,I,VICTOR,,CASHWELL,,02/24/1943,USA,FL,Palm Desert,,U,W,313919497,SDY,BLK,52,524,7489 CHANNING,APARTMENT # 248,Kingsport,VA,56387-7973,PYF,316-830-3548,(990)7400945,8132699589,692-739-8799,873-400-3224,CARMELO.TIDRICK@CIAB.ORG,FSM,,FSM,5647560913,D,94M9OJM,F22,YCZYF9XPM4,S0Z8MM7K9Y,RQ6CSO41,A928811608,91295941538,Y38V0O23U,4MONAP,TEAQ9Z2WTX,5KH0E3AO,Shuttle America,1100 KITTS HILL HWY,OFFICE 254,Clearfield,MO,64233,ISR,CORY GUTMAN@Shuttle America.CO.UK,(546)6056714,CORY GUTMAN,AW,FPO,BFD,CARMELO_TIDRICK_XSR954.eft,,GIEN4,07/23/2007,07/23/2008,XFT,Red,Concourse B,True,False,False,False,False,False,A,
LULA,,GAVLES,VII,RENATA,,DAVE,III,03/24/1924,USA,WA,Harlingen,,F,A,581689739,BLK,PNK,40,905,9228 COLECROFT,,Sandy,TX,63073,WSM,865-836-6452,(247)4053696,(750)3675655,2385008018,617-957-6125,LULA.GAVLES1924@VHLW.EDU,USA,,USA,9055910297,D,,,0JGWHSIKGI,,,,,,,,,New England Airlines,2245 KASHMERE CANYON HIGHWAY,,Dunedin,KY,38949,BTN,IGNACIO FERRIN@New England Airlines.GOV,(392)3461877,IGNACIO FERRIN,GA,TFS-FP,AIY,,,,,,,,,,,,,,,,
MICHAEL,MITCHELL,THRAEN,,DIEGO,DEMARCUS,WHARFF,,10/25/1951,USA,SC,Burlington,,M,I,297254870,BRY,BRO,69,623,9141 AMBERLY PL,,Newport Beach,OH,67133,CCK,(520)2535804,3894103083,8912390692,358-709-3422,6836428178,MICHAEL.THRAEN1951@WOQK.GOV,USA,,USA,3763550796,M,FWDTUXW,U-4,1JYSXXVHI5,EAZ6KQACNJ,SKDR1QQU,,,GKQDG0F7E,YFRU11,8YPP2Y825S,LVN3NMOA,Korean Air,3072 JENKINS RD,,Evansville,VA,81327-7121,LSO,COLUMBUS WEDDING@Korean Air.CO.UK,779-440-7963,COLUMBUS WEDDING,GA,TFS-FP,ZGS,,,,,,,,,,,,,,,,
MARIVEL,ANNIKA,SLINKARD,,JAMES,,DAWE,,07/24/1991,IRN,,,,F,U,601013114,BRY,BRO,103,1079,6850 ESTRELLITA STREET,,West Lafayette,NH,53422,BLZ,3733508956,909-218-2958,5253736257,(519)2239133,8496631193,MARIVEL.SLINKARD@AKVA.ORG,PSE,,USA,6187349778,P,,,JWKHYM089P,,,A241842723,77912511988,,,,,Air Wisconsin Airlines,2693 BREEDERS RUN WAY,APT # 334,Barberton,UT,73797,AUT,LARRY ALDONZA@Air Wisconsin Airlines.EDU,281-428-3121,LARRY ALDONZA,GA,MDW-PFP,ENA,,FAKE617256,,,,,,,,,,,,,,
CASSANDRA,ANNAMAE,OSHEY,,DARCIE,,TAKAHASHI,,04/21/1985,DZA,,,,F,U,561038385,BLU,HAZ,65,124,4949 MANDALAY HWY,APT 180,Madison,DE,93192,SLB,410-927-5559,6223054569,694-973-5668,(903)3766023,7689339846,CASSANDRA.OSHEY1985@KLHT.GOV,USA,03/23/1985,USA,6490287951,M,,,JIONCKINJG,,,,,,,,,Google,729 CREST VIEW,,Bell,UT,41868-6974,GNB,GARY LAWCEWICZ@Google.EDU,(307)9778208,GARY LAWCEWICZ,AW,FPO,RAP,CASSANDRA_OSHEY_NSOJM0.eft,,OYU0J,08/23/2001,08/23/2002,UOH,Yellow,Terminal 2,False,False,True,True,False,True,I,Leave of Absence
MACK,,SLAY,I,ASA,,BOBINO,,10/24/1948,USA,KS,Lancaster,,M,B,664515953,XXX,BLK,55,389,2791 ALLMER HWY,,Alpharetta,CT,65709,PNG,330-338-4439,224-221-2833,(832)3430051,220-750-3204,753-688-8430,MACK.SLAY1948@TENO.ORG,CCK,,USA,2119458993,M,,,RMBNPYS78S,,,A938748819,71330056936,,,,,Northwest Airlines,4994 WESTMINSTER HIGHWAY,,Chesterfield,OR,66908-3303,COD,CARROL CAKANIC@Northwest Airlines.CO.UK,784-651-6679,CARROL CAKANIC,GA,MDW-PFP,YYZ,,FAKE360141,,,,,,,,,,,,,,
